Strain,Expressing_HA,Dual_HA
3P_NP,72.33,69.2
3P_NP,70.38,63.7
3P_NP,65.65,63.3
3P_NP,48.88,42
3P_NP,41.27,36.5
3P_NP,32.08,25.1
3P_NP,30.19,23.4
3P_NP,15.23,8.69
3P_NP,14.9,9.38
3P_NP,3.91,1.6
3P_NP,1.64,0.79
3P_NP,1.46,0.76
3P_NP,1.01,0.26
GFHK99,84.03,83.7
GFHK99,82.2,73.5
GFHK99,79.05,77.3
GFHK99,78.37,77.4
GFHK99,73.04,69.1
GFHK99,72.98,71.8
GFHK99,72.94,72.4
GFHK99,72,65.1
GFHK99,70.01,69.7
GFHK99,67.83,66.5
GFHK99,67.33,67.2
GFHK99,67.13,66.5
GFHK99,64.4,64.2
GFHK99,63.87,63.8
GFHK99,63.82,61.6
GFHK99,63.59,63.1
GFHK99,58.9,58.7
GFHK99,55.39,50.5
GFHK99,55.08,44.4
GFHK99,52.51,48.5
GFHK99,46.42,42.6
GFHK99,36.28,31.2
GFHK99,34.41,28.5
GFHK99,31.94,24.9
GFHK99,30.7,21.6
GFHK99,20.79,14.3
GFHK99,17.53,12.9
GFHK99,16.38,11.6
GFHK99,7.55,3.1
GFHK99,3.89,1.46
GFHK99,3.74,1.97
GFHK99,3.58,1.66
GFHK99,1.67,0.16
GFHK99,1.48,0.14
GFHK99,1.02,0.12
GFHK99,0.97,0.13
HA,90.1,89
HA,89.64,86.1
HA,88.57,84
HA,88.41,86.9
HA,75.01,57.8
HA,71,53.9
HA,67.1,28.7
HA,65.02,45.6
HA,61.5,25.1
HA,59,23.5
HA,58.9,26.6
HA,57.9,28
HA,56.6,26.7
HA,54.97,39.3
HA,50.5,16.5
HA,48.3,16.8
HA,47.3,14.3
HA,46.28,36.2
HA,44.3,11.7
HA,44.29,21.8
HA,41.71,18.4
HA,40.6,10.7
HA,39,19
HA,38.67,9.47
HA,33.81,16.3
HA,32.14,6.74
HA,30.73,6.23
HA,30.73,6.23
HA,29.66,5.86
HA,14.51,3.47
HA,13.8,2.88
HA,10.3,2.56
HA,7.22,1.32
HA,7.01,1.2
HA,5.31,0.71
HA,4.9,0.7
HA,1.071,0.041
HA_NA_M_NS,93.48,88.2
HA_NA_M_NS,86.64,72.2
HA_NA_M_NS,86.17,70
HA_NA_M_NS,82.75,59.8
HA_NA_M_NS,82.08,59.1
HA_NA_M_NS,37.1,14.2
HA_NA_M_NS,19.92,4.83
HA_NA_M_NS,17.12,2.75
HA_NA_M_NS,16.41,2.62
HA_NA_M_NS,11.48,5.18
HA_NA_M_NS,10.35,4.6
HA_NA_M_NS,10.11,4.43
HA_NA_M_NS,2.83,0.1
HA_NA_M_NS,2.579,0.039
HA_NA_M_NS,2.34,0.057
MaMN99,82.24,80.1
MaMN99,82.05,74.8
MaMN99,81.98,80.5
MaMN99,78.2,71.2
MaMN99,74.8,48
MaMN99,74.6,49.3
MaMN99,73.3,47.3
MaMN99,72.51,50.6
MaMN99,63.9,33.3
MaMN99,61,32.9
MaMN99,60.36,38.2
MaMN99,53.8,18.8
MaMN99,51,18.6
MaMN99,48.26,21.2
MaMN99,46.81,20.2
MaMN99,44.8,16.1
MaMN99,41.87,28.9
MaMN99,34.01,7.01
MaMN99,32.62,6.92
MaMN99,30.71,6.61
MaMN99,30.55,5.95
MaMN99,28.45,10.8
MaMN99,25.71,5.83
MaMN99,20.87,4.39
MaMN99,20.52,2.53
MaMN99,14.89,1.61
MaMN99,14.89,1.61
MaMN99,14.61,1.8
MaMN99,10.7,0.77
MaMN99,9.12,0.76
MaMN99,7.93,1.47
MaMN99,7.09,0.43
MaMN99,1.95,0.17
MaMN99,0.452,0.052
NP,92.47,91.7
NP,91.37,90.3
NP,90.67,86.8
NP,90.58,88.8
NP,90.49,88.4
NP,89.77,85.3
NP,85.95,76.9
NP,83.94,73.9
NP,82.58,71.6
NP,82.52,69.9
NP,67.63,48.2
NP,54.5,36
NP,41.42,18.2
NP,29.18,12
NP,26.2,10.1
NP,24.66,8.53
NP,24.36,9.17
NP,20.52,5.86
NP,14.42,3.83
NP,10.3,3.98
NP,4.9,0.7
NP,3.26,0.43
NP,3.18,0.52
NP,1.135,0.095
PA,72.77,71.1
PA,68.48,65.6
PA,67.8,65.4
PA,66.23,64.4
PA,49.46,45.6
PA,48.33,44.8
PA,29.04,22.9
PA,27.25,21.8
PA,10.29,6.54
PA,8.95,5.56
PA,3.1,1.66
PA,2.38,1.14
PA,0.95,0.32
PA,0.81,0.28
PB1,88.37,80.6
PB1,86.29,79
PB1,85.22,75.2
PB1,81.84,73.5
PB1,71.05,53.5
PB1,68.38,50.8
PB1,52.2,28.6
PB1,50.2,26
PB1,28.52,10.1
PB1,24.19,7.48
PB1,15.4,3.82
PB1,14.99,3.7
PB1,10.8,2.09
PB1,10.49,1.8
PB2,80.6,71.2
PB2,80.21,70.1
PB2,74.4,60.5
PB2,72.72,59.7
PB2,61,39.4
PB2,59.8,37.6
PB2,47,21.3
PB2,40,16.6
PB2,28.86,7.71
PB2,27.98,7.2
PB2,17.45,3.26
PB2,17.16,3.2
PB2,8.53,0.95
PB2,7.74,0.87