Rep,Well,PB2,PB1,PA,HA,NP,NA,M,NS,PB2.Helper,PB1.Helper
1,A01,0,0,0,0,0,0,0,0,1,1
1,A02,0,0,0,0,0,0,0,0,1,1
1,A03,0,0,0,0,0,0,0,0,1,1
1,A04,0,0,0,0,0,0,0,0,1,1
1,A05,0,0,0,0,0,0,0,0,0,0
1,A06,0,0,0,0,0,0,0,0,1,1
1,A07,0,0,0,0,0,0,0,0,0,0
1,A08,0,0,0,0,0,0,0,0,0,0
1,A09,0,0,0,0,0,0,0,0,0,0
1,A10,0,0,0,0,0,0,0,0,0,0
1,A11,0,0,0,0,0,0,0,0,0,0
1,A12,0,0,0,0,0,0,0,0,0,0
1,B01,0,0,0,0,0,0,0,0,1,1
1,B02,0,0,0,0,0,0,0,0,1,1
1,B03,0,0,0,0,0,0,0,0,0,0
1,B04,0,0,0,0,0,0,0,0,1,1
1,B05,1,0,1,1,0,1,1,1,1,1
1,B06,0,0,0,0,0,0,0,0,1,1
1,B07,0,0,0,0,0,0,0,0,1,1
1,B08,1,0,1,1,0,0,1,1,1,1
1,B09,0,0,0,0,0,0,0,0,1,1
1,B10,0,0,0,0,0,0,0,0,1,1
1,B11,0,0,0,0,0,0,0,0,1,1
1,B12,0,1,0,1,1,1,1,1,1,1
1,C01,0,1,1,1,1,1,1,1,1,1
1,C02,0,0,0,0,0,0,0,0,0,0
1,C03,0,0,0,0,0,0,0,0,1,1
1,C04,0,0,0,0,0,0,0,0,1,1
1,C05,0,0,0,0,0,0,0,0,1,1
1,C06,0,0,0,0,0,0,0,0,1,1
1,C07,0,0,0,0,0,0,0,0,1,1
1,C08,0,0,0,0,0,0,0,0,1,1
1,C09,0,1,1,1,0,0,1,1,1,1
1,C10,0,0,0,0,0,0,0,0,1,1
1,C11,1,1,1,1,1,1,0,1,1,1
1,C12,0,0,0,0,0,0,0,0,1,1
1,D01,0,0,0,0,0,0,0,0,1,1
1,D02,0,0,0,0,0,0,0,0,1,1
1,D03,0,0,0,0,0,0,0,0,1,1
1,D04,0,0,1,0,1,1,1,0,1,1
1,D05,0,0,0,0,0,0,0,0,1,1
1,D06,1,0,1,1,1,1,1,1,1,1
1,D07,1,1,1,1,1,1,1,1,1,1
1,D08,0,0,0,0,0,0,0,0,1,1
1,D09,0,1,1,0,1,1,1,1,1,1
1,D10,0,1,1,1,1,1,0,0,1,1
1,D11,0,0,0,0,0,0,0,0,1,1
1,D12,1,0,0,1,1,0,1,1,1,1
1,E01,0,0,0,0,0,0,0,0,1,1
1,E02,1,0,0,1,1,1,1,1,1,1
1,E03,1,0,1,0,1,0,1,1,1,1
1,E04,0,0,0,0,0,0,0,0,1,1
1,E05,0,0,0,0,0,0,0,0,0,0
1,E06,0,0,0,0,0,0,0,0,0,0
1,E07,1,1,1,1,1,1,1,1,1,1
1,E08,1,0,0,0,1,1,1,1,1,1
1,E09,1,1,1,1,1,1,1,1,1,1
1,E10,0,0,0,0,0,0,0,0,1,1
1,E11,1,1,1,1,1,1,1,1,1,1
1,E12,0,0,0,0,0,0,0,0,1,1
1,F01,0,0,0,0,0,0,0,0,1,1
1,F02,0,0,0,0,0,0,0,0,1,1
1,F03,0,0,0,0,0,0,0,0,1,1
1,F04,0,0,1,0,0,0,1,1,1,1
1,F05,0,0,0,0,0,0,0,0,1,1
1,F06,1,1,1,0,0,1,1,1,1,1
1,F07,0,0,0,0,0,0,0,0,1,1
1,F08,1,1,1,1,1,1,1,1,1,1
1,F09,0,0,0,0,0,0,0,0,1,1
1,F10,0,0,0,0,0,0,0,0,1,1
1,F11,0,1,1,1,1,1,1,1,1,1
1,F12,1,1,1,1,1,1,1,1,1,1
1,G01,0,1,0,1,1,1,0,1,1,1
1,G02,0,1,1,1,0,0,1,1,1,1
1,G03,0,0,1,0,1,1,0,1,1,1
1,G04,0,0,0,0,0,0,0,0,1,1
1,G05,0,0,0,0,0,0,0,0,1,1
1,G06,0,0,0,0,0,0,0,0,1,1
1,G07,1,1,1,1,1,0,1,0,1,1
1,G08,0,0,0,0,0,0,0,0,1,1
1,G09,0,0,0,0,0,0,0,0,1,1
1,G10,0,0,0,0,0,0,0,0,1,1
1,G11,0,0,0,0,0,0,0,0,1,1
1,G12,1,0,0,0,1,0,0,0,1,1
1,H01,,,,,,,,,,
1,H02,,,,,,,,,,
1,H03,0,0,0,0,0,0,0,0,1,1
1,H04,1,1,1,1,1,1,1,1,1,1
1,H05,1,1,1,1,1,1,1,1,1,1
1,H06,,,,,,,,,,
1,H07,,,,,,,,,,
1,H08,1,1,1,1,1,1,1,1,1,1
1,H09,0,0,0,0,0,0,0,0,1,1
1,H10,0,0,0,0,0,0,0,0,1,1
1,H11,,,,,,,,,,
1,H12,,,,,,,,,,
2,A01,0,0,0,0,0,0,0,0,1,1
2,A02,0,0,0,0,0,0,0,0,1,1
2,A03,0,0,0,0,0,0,0,0,0,0
2,A04,0,0,0,0,0,0,0,0,1,1
2,A05,0,0,0,0,0,0,0,0,1,1
2,A06,0,0,0,0,0,0,0,0,0,0
2,A07,0,0,0,0,0,0,0,0,0,0
2,A08,0,0,0,0,0,0,0,0,0,0
2,A09,0,0,0,0,0,0,0,0,0,0
2,A10,0,0,0,0,0,0,0,0,0,0
2,A11,0,0,0,0,0,0,0,0,0,0
2,A12,0,0,0,0,0,0,0,0,0,0
2,B01,0,0,0,0,0,0,0,0,0,0
2,B02,0,0,0,0,0,0,0,0,1,1
2,B03,0,0,0,0,0,0,0,0,0,0
2,B04,1,1,1,0,1,1,1,1,1,1
2,B05,0,0,0,0,0,0,0,0,0,0
2,B06,1,0,1,0,1,1,1,1,1,1
2,B07,0,1,1,1,0,1,1,1,1,1
2,B08,0,0,0,0,0,0,0,0,0,0
2,B09,0,0,0,0,0,0,0,0,1,0
2,B10,0,0,0,0,0,0,0,0,1,1
2,B11,0,0,0,0,0,0,0,0,1,1
2,B12,0,0,0,0,0,0,0,0,0,0
2,C01,0,0,0,0,1,0,1,1,1,1
2,C02,0,0,0,0,0,0,0,0,0,0
2,C03,1,1,1,1,0,1,1,1,1,1
2,C04,0,0,0,0,0,0,0,0,1,1
2,C05,0,1,1,0,1,1,1,0,1,1
2,C06,0,0,0,0,0,0,0,0,0,0
2,C07,0,1,1,1,1,1,1,1,1,1
2,C08,0,0,0,0,0,0,0,0,1,1
2,C09,1,1,1,1,1,1,1,1,1,1
2,C10,0,0,1,0,1,1,0,0,1,1
2,C11,0,0,0,0,0,0,0,0,1,1
2,C12,0,0,0,0,0,0,0,0,0,0
2,D01,0,1,1,0,1,1,1,1,1,1
2,D02,1,1,1,1,1,1,1,1,1,1
2,D03,1,0,0,0,0,0,0,0,1,1
2,D04,0,0,0,0,0,0,0,0,0,0
2,D05,0,0,0,0,0,0,0,0,0,0
2,D06,0,0,0,0,0,1,1,0,1,1
2,D07,0,0,0,0,0,0,0,0,1,1
2,D08,0,1,1,0,1,1,1,1,1,1
2,D09,0,0,0,0,0,0,0,0,1,1
2,D10,1,0,0,0,0,0,1,1,1,1
2,D11,0,0,0,0,0,0,0,0,0,0
2,D12,0,0,0,0,0,0,0,0,0,0
2,E01,0,0,0,0,0,0,0,0,1,1
2,E02,0,0,0,0,0,0,0,0,1,1
2,E03,0,0,0,0,0,0,0,0,1,1
2,E04,1,0,0,0,1,1,1,1,1,1
2,E05,1,1,1,1,1,1,1,1,1,1
2,E06,0,0,0,0,0,0,0,0,1,1
2,E07,0,0,0,0,0,0,0,0,0,0
2,E08,1,1,1,1,1,1,1,1,1,1
2,E09,0,0,0,0,0,0,0,0,1,1
2,E10,1,1,1,1,1,1,1,1,1,1
2,E11,0,0,1,0,1,1,1,1,1,1
2,E12,0,0,0,0,0,0,0,0,1,1
2,F01,0,0,0,0,0,0,0,0,1,1
2,F02,1,1,0,1,0,1,1,1,1,1
2,F03,0,0,0,0,0,0,0,0,1,1
2,F04,0,0,0,0,0,0,0,0,1,1
2,F05,0,0,0,0,0,0,0,0,1,1
2,F06,0,0,0,0,0,0,0,0,1,1
2,F07,0,0,0,0,0,0,0,0,1,1
2,F08,0,0,0,0,0,0,0,0,0,0
2,F09,1,0,1,1,1,1,0,0,1,1
2,F10,0,0,0,0,1,0,1,1,1,1
2,F11,0,0,0,0,0,0,0,0,1,1
2,F12,0,0,0,0,0,0,0,0,1,1
2,G01,1,1,0,0,1,1,1,1,1,1
2,G02,0,0,0,0,0,0,0,0,0,0
2,G03,0,0,0,0,0,0,0,0,1,1
2,G04,0,0,0,0,0,0,0,0,1,1
2,G05,0,0,0,0,0,0,0,0,1,1
2,G06,0,0,0,0,0,0,0,0,1,1
2,G07,0,0,0,0,0,0,0,0,0,0
2,G08,0,0,0,0,0,0,0,0,1,1
2,G09,1,1,1,1,1,1,1,1,1,1
2,G10,0,0,0,0,0,0,0,0,0,0
2,G11,0,0,0,0,0,0,0,0,0,0
2,G12,1,1,1,1,1,1,1,1,1,1
2,H01,,,,,,,,,,
2,H02,,,,,,,,,,
2,H03,0,0,0,0,0,0,0,0,1,1
2,H04,0,0,0,0,0,0,0,0,1,1
2,H05,0,0,0,0,0,0,0,0,0,0
2,H06,,,,,,,,,,
2,H07,,,,,,,,,,
2,H08,0,0,0,0,0,0,0,0,1,1
2,H09,0,0,0,0,0,0,0,0,1,1
2,H10,0,0,0,0,0,0,0,0,1,1
2,H11,,,,,,,,,,
2,H12,,,,,,,,,,
3,A01,0,0,0,0,0,0,0,0,0,0
3,A02,0,0,0,0,0,0,0,0,0,0
3,A03,0,0,0,0,0,0,0,0,0,0
3,A04,0,0,0,0,0,0,0,0,0,0
3,A05,0,0,0,0,0,0,0,0,0,0
3,A06,0,0,0,0,0,0,0,0,0,0
3,A07,0,0,0,0,0,0,0,0,0,0
3,A08,0,0,0,0,0,0,0,0,0,0
3,A09,0,0,0,0,0,0,0,0,0,0
3,A10,0,0,0,0,0,0,0,0,0,0
3,A11,0,0,0,0,0,0,0,0,0,0
3,A12,0,0,0,0,0,0,0,0,0,0
3,B01,0,0,0,0,0,0,0,0,1,1
3,B02,0,0,0,0,0,0,0,0,0,0
3,B03,0,0,0,0,0,0,0,0,1,1
3,B04,0,0,0,0,0,0,0,0,1,1
3,B05,0,0,0,0,0,0,0,0,0,0
3,B06,1,0,1,1,1,1,1,1,1,1
3,B07,0,0,0,0,0,0,0,0,1,1
3,B08,0,0,0,0,0,0,0,0,0,0
3,B09,0,0,0,0,0,0,0,0,1,1
3,B10,0,0,0,0,0,0,0,0,0,0
3,B11,0,0,0,0,0,0,0,0,1,1
3,B12,0,0,0,0,0,0,0,0,0,0
3,C01,0,0,0,0,0,0,0,0,1,1
3,C02,0,0,0,0,0,0,0,0,1,1
3,C03,0,0,0,0,0,0,0,0,0,0
3,C04,0,0,0,0,0,0,0,0,1,1
3,C05,0,0,0,0,0,0,0,0,0,0
3,C06,0,0,0,0,0,0,0,0,0,0
3,C07,0,0,0,0,0,0,0,0,0,0
3,C08,0,0,0,0,0,0,0,0,1,1
3,C09,0,0,0,0,0,0,0,0,0,0
3,C10,0,0,0,1,1,0,1,1,1,1
3,C11,0,0,0,0,0,0,0,0,1,1
3,C12,1,1,0,0,1,1,1,0,1,1
3,D01,0,0,0,0,1,0,1,1,1,1
3,D02,0,0,0,0,0,0,0,0,0,0
3,D03,0,0,0,0,0,0,0,0,1,1
3,D04,0,0,0,0,0,0,0,0,1,1
3,D05,0,0,0,0,0,0,0,0,1,1
3,D06,0,0,0,0,0,0,0,0,0,0
3,D07,0,0,0,0,0,0,0,0,0,0
3,D08,0,0,0,0,0,0,0,0,1,1
3,D09,0,0,0,0,0,0,0,0,1,1
3,D10,0,0,0,0,0,0,0,0,0,0
3,D11,0,0,0,0,0,0,0,0,0,0
3,D12,0,0,0,0,0,0,0,0,1,1
3,E01,1,1,1,1,1,1,1,1,1,1
3,E02,0,0,0,0,0,0,0,0,1,1
3,E03,0,0,0,0,0,0,0,0,0,0
3,E04,0,0,0,0,0,0,0,0,1,1
3,E05,0,0,0,0,0,0,0,0,1,1
3,E06,0,1,1,1,1,1,1,1,1,1
3,E07,0,0,0,0,0,0,0,0,1,1
3,E08,0,0,0,0,0,0,0,0,1,1
3,E09,0,0,0,0,0,0,0,0,0,0
3,E10,0,0,0,0,0,0,0,0,1,1
3,E11,1,1,1,1,1,1,1,1,1,1
3,E12,0,0,0,0,0,0,0,0,1,1
3,F01,0,1,1,1,1,1,0,1,1,1
3,F02,0,0,0,0,0,0,0,0,1,1
3,F03,0,0,0,0,1,1,1,0,1,1
3,F04,1,0,1,1,1,1,1,1,1,1
3,F05,0,0,0,0,0,0,0,0,0,0
3,F06,0,0,0,0,0,0,0,0,1,1
3,F07,0,0,0,0,0,0,0,0,1,1
3,F08,0,0,0,0,0,0,0,0,0,0
3,F09,0,0,0,0,0,0,0,0,0,0
3,F10,0,0,0,0,0,0,0,0,1,1
3,F11,0,0,0,0,0,0,0,0,0,0
3,F12,0,1,1,0,1,0,1,1,1,1
3,G01,1,1,0,1,1,1,1,1,1,1
3,G02,1,1,1,1,0,1,0,1,1,1
3,G03,0,0,0,0,0,0,0,0,0,0
3,G04,0,0,0,0,0,0,0,0,1,1
3,G05,0,0,0,0,0,0,0,0,0,0
3,G06,0,0,0,0,0,0,0,0,1,1
3,G07,0,0,0,0,0,0,0,0,0,0
3,G08,0,0,0,1,0,0,0,0,1,1
3,G09,0,0,0,0,0,0,0,0,0,0
3,G10,0,0,1,1,1,1,1,0,1,1
3,G11,1,1,0,1,1,1,1,1,1,1
3,G12,1,0,1,1,1,0,1,1,1,1
3,H01,,,,,,,,,,
3,H02,,,,,,,,,,
3,H03,0,0,0,0,0,0,0,0,0,0
3,H04,0,0,0,0,0,0,0,0,1,1
3,H05,0,0,0,0,0,0,0,0,0,0
3,H06,,,,,,,,,,
3,H07,,,,,,,,,,
3,H08,0,0,0,0,0,0,0,0,0,0
3,H09,0,0,0,0,0,0,0,0,0,0
3,H10,0,0,0,0,0,0,0,0,1,1
3,H11,,,,,,,,,,
3,H12,,,,,,,,,,
4,A01,0,0,0,0,0,0,0,0,0,0
4,A02,0,0,0,0,0,0,0,0,0,0
4,A03,0,0,0,0,0,0,0,0,0,0
4,A04,0,0,0,0,0,0,0,0,0,0
4,A05,0,0,0,0,0,0,0,0,0,0
4,A06,0,0,0,0,0,0,0,0,0,0
4,A07,0,0,0,0,0,0,0,0,0,0
4,A08,0,0,0,0,0,0,0,0,0,0
4,A09,0,0,0,0,0,0,0,0,0,0
4,A10,0,0,0,0,0,0,0,0,0,0
4,A11,0,0,0,0,0,0,0,0,0,0
4,A12,0,0,0,0,0,0,0,0,0,0
4,B01,0,0,0,0,0,0,0,0,0,0
4,B02,0,0,0,0,0,0,0,0,0,0
4,B03,1,1,0,1,1,1,1,1,1,1
4,B04,1,1,1,1,0,0,1,1,1,1
4,B05,1,1,1,1,1,0,1,1,1,1
4,B06,0,0,0,0,0,0,0,0,1,1
4,B07,0,0,0,0,0,0,0,0,1,1
4,B08,0,0,0,0,0,0,0,0,1,1
4,B09,0,0,0,0,0,0,0,0,0,0
4,B10,0,0,0,0,0,0,0,0,1,1
4,B11,1,1,1,1,1,1,1,1,1,1
4,B12,1,1,1,1,1,1,1,1,1,1
4,C01,0,0,0,0,0,0,0,0,1,1
4,C02,1,0,1,1,1,0,1,1,1,1
4,C03,0,0,0,0,0,0,0,0,1,1
4,C04,0,0,0,0,0,0,0,0,1,1
4,C05,0,0,0,0,0,0,0,0,1,1
4,C06,0,0,0,0,0,0,0,0,1,1
4,C07,0,0,0,0,0,0,0,0,1,1
4,C08,1,1,0,1,1,1,1,1,1,1
4,C09,0,0,0,0,0,0,0,0,1,1
4,C10,1,1,0,0,0,0,0,0,1,1
4,C11,0,0,0,0,0,0,0,0,1,1
4,C12,0,0,0,0,0,0,0,0,1,1
4,D01,0,0,0,0,0,0,0,0,0,0
4,D02,1,1,1,0,1,1,0,1,1,1
4,D03,0,0,0,0,0,0,0,0,1,1
4,D04,0,0,0,0,0,0,0,0,1,1
4,D05,0,0,0,0,0,0,0,0,1,1
4,D06,0,0,0,0,0,0,0,0,0,0
4,D07,0,0,0,0,0,0,0,0,0,0
4,D08,0,0,0,0,0,0,0,0,1,1
4,D09,1,1,1,1,1,1,1,1,1,1
4,D10,0,0,0,0,0,0,0,0,1,1
4,D11,0,1,0,1,0,0,1,1,1,1
4,D12,0,0,0,0,0,0,0,0,1,1
4,E01,0,0,0,0,0,0,0,0,1,1
4,E02,0,0,0,0,0,0,0,0,1,1
4,E03,0,0,0,0,0,0,0,0,1,1
4,E04,0,0,0,0,0,0,0,0,0,0
4,E05,1,1,1,1,1,0,1,1,1,1
4,E06,1,1,1,0,1,1,0,0,1,1
4,E07,0,0,0,0,0,0,0,0,1,1
4,E08,0,0,0,0,0,0,0,0,1,1
4,E09,0,0,0,0,0,0,0,0,1,1
4,E10,1,1,1,0,1,1,1,1,1,1
4,E11,0,0,0,0,0,0,0,0,1,1
4,E12,0,0,0,0,0,0,0,0,1,1
4,F01,0,0,0,0,0,0,0,0,1,1
4,F02,1,1,1,1,1,0,1,1,1,1
4,F03,0,0,1,1,0,0,1,0,1,1
4,F04,0,0,0,0,0,0,0,0,1,1
4,F05,0,0,0,0,0,0,0,0,0,0
4,F06,0,0,0,0,0,0,0,0,0,0
4,F07,1,1,1,1,1,1,1,1,1,1
4,F08,0,0,1,1,0,0,1,0,1,1
4,F09,0,0,0,0,0,0,0,0,0,0
4,F10,0,0,0,0,0,0,0,0,0,0
4,F11,0,0,0,0,0,0,0,0,1,1
4,F12,0,0,0,0,0,0,0,0,1,1
4,G01,0,0,0,0,0,0,0,0,0,0
4,G02,0,0,0,0,0,0,0,0,0,0
4,G03,0,0,0,0,0,1,0,0,1,1
4,G04,0,0,1,1,1,1,1,1,1,1
4,G05,1,0,0,0,1,1,1,1,1,1
4,G06,1,0,1,1,0,1,1,1,1,1
4,G07,0,0,0,0,0,0,0,0,0,0
4,G08,0,0,0,0,0,0,0,0,1,1
4,G09,1,1,1,0,1,1,1,1,1,1
4,G10,0,0,0,0,0,0,0,0,1,1
4,G11,0,0,0,0,0,0,0,0,1,1
4,G12,0,0,0,1,0,0,0,0,1,1
4,H01,,,,,,,,,,
4,H02,,,,,,,,,,
4,H03,0,0,0,1,0,0,1,1,1,1
4,H04,0,0,0,0,0,0,0,0,0,0
4,H05,0,1,0,1,0,1,0,1,1,1
4,H06,,,,,,,,,,
4,H07,,,,,,,,,,
4,H08,1,1,0,1,0,0,0,0,1,1
4,H09,0,0,1,0,1,0,1,0,1,1
4,H10,0,0,0,0,0,0,0,0,1,1
4,H11,,,,,,,,,,
4,H12,,,,,,,,,,
5,A01,0,0,0,0,0,0,0,0,0,0
5,A02,0,0,0,0,0,0,0,0,0,0
5,A03,0,0,0,0,0,0,0,0,0,0
5,A04,0,0,0,0,0,0,0,0,0,0
5,A05,0,0,0,0,0,0,0,0,0,0
5,A06,0,0,0,0,0,0,0,0,0,0
5,A07,0,0,0,0,0,0,0,0,0,0
5,A08,0,0,0,0,0,0,0,0,0,0
5,A09,0,0,0,0,0,0,0,0,0,0
5,A10,0,0,0,0,0,0,0,0,0,0
5,A11,0,0,0,0,0,0,0,0,0,0
5,A12,0,0,0,0,0,0,0,0,0,0
5,B01,0,1,1,1,1,0,1,1,1,1
5,B02,0,0,0,0,0,0,0,0,0,0
5,B03,0,0,0,0,0,0,0,0,1,1
5,B04,0,0,0,0,0,0,0,0,1,1
5,B05,0,0,0,0,0,0,0,0,1,1
5,B06,0,0,0,0,0,0,0,0,0,0
5,B07,0,0,0,0,0,0,0,0,1,1
5,B08,0,0,0,0,0,0,0,0,1,1
5,B09,0,0,0,0,0,0,0,0,1,1
5,B10,0,0,1,0,0,0,0,0,1,1
5,B11,0,0,0,0,0,0,0,0,0,0
5,B12,0,0,0,0,1,1,1,0,1,1
5,C01,0,0,0,0,0,0,0,0,1,1
5,C02,0,0,0,0,0,0,0,0,1,1
5,C03,0,0,0,0,0,0,0,0,0,0
5,C04,0,0,0,0,0,0,0,0,1,1
5,C05,0,0,0,0,1,1,1,1,1,1
5,C06,1,1,1,1,1,1,0,1,1,1
5,C07,0,0,0,0,0,0,0,0,1,1
5,C08,0,0,0,0,0,0,0,0,1,1
5,C09,0,0,0,0,0,0,0,0,1,1
5,C10,0,0,0,0,0,0,0,0,1,1
5,C11,0,0,0,0,0,0,0,0,0,0
5,C12,0,0,0,0,0,0,0,0,1,1
5,D01,0,0,0,0,0,1,1,0,1,1
5,D02,0,0,0,1,0,0,0,0,1,1
5,D03,0,0,1,0,0,1,1,0,1,1
5,D04,0,0,0,0,0,0,0,0,0,0
5,D05,0,0,0,0,0,0,0,0,1,1
5,D06,0,0,0,0,0,0,0,0,1,1
5,D07,0,0,0,0,0,0,0,0,0,0
5,D08,0,0,0,0,0,0,0,0,1,1
5,D09,0,0,0,0,0,0,0,0,1,1
5,D10,0,0,0,0,0,0,0,0,1,1
5,D11,1,1,1,1,1,1,1,1,1,1
5,D12,0,0,0,0,0,0,0,0,0,0
5,E01,1,1,1,1,1,1,1,1,1,1
5,E02,0,0,0,0,0,0,0,0,0,0
5,E03,0,0,0,0,0,0,0,0,0,0
5,E04,0,0,0,0,0,0,0,0,1,1
5,E05,0,0,0,0,0,0,0,0,0,0
5,E06,1,1,0,1,1,1,1,1,1,1
5,E07,0,0,0,0,0,0,0,0,1,1
5,E08,0,0,0,0,0,0,0,0,1,1
5,E09,0,0,0,0,0,0,0,0,1,1
5,E10,0,0,0,0,1,0,0,1,1,1
5,E11,0,0,0,0,0,0,0,0,0,0
5,E12,0,0,0,0,0,0,0,0,1,1
5,F01,0,0,0,0,0,0,0,0,1,1
5,F02,0,0,0,0,0,0,0,0,0,0
5,F03,1,0,1,1,1,1,1,1,1,1
5,F04,1,1,0,0,1,1,1,1,1,1
5,F05,0,0,0,0,0,0,0,0,1,1
5,F06,0,0,0,0,0,0,0,0,1,1
5,F07,0,0,0,0,0,0,0,0,0,0
5,F08,1,0,0,0,0,0,1,0,1,1
5,F09,0,0,0,0,0,0,0,0,1,1
5,F10,1,1,0,0,0,0,0,1,1,1
5,F11,0,0,0,0,0,0,0,0,1,1
5,F12,0,0,0,0,0,0,0,0,0,0
5,G01,1,1,1,0,0,1,0,1,1,1
5,G02,1,1,0,0,1,1,1,1,1,1
5,G03,0,0,0,0,0,0,0,0,1,1
5,G04,0,0,0,0,0,1,1,1,1,1
5,G05,0,0,0,0,0,0,0,0,1,1
5,G06,0,0,0,0,0,0,1,0,1,1
5,G07,0,0,0,0,0,0,0,0,0,0
5,G08,0,0,0,0,0,0,0,0,1,1
5,G09,0,0,0,0,0,0,0,0,1,1
5,G10,0,0,0,0,0,0,0,0,1,1
5,G11,0,1,1,1,1,1,1,1,1,1
5,G12,0,0,0,0,0,0,0,0,1,1
5,H01,,,,,,,,,,
5,H02,,,,,,,,,,
5,H03,0,0,0,0,0,0,0,0,0,0
5,H04,0,0,0,0,0,0,1,0,1,1
5,H05,0,0,0,0,1,1,1,1,1,1
5,H06,,,,,,,,,,
5,H07,,,,,,,,,,
5,H08,1,0,0,0,1,1,1,1,1,1
5,H09,0,0,0,0,0,0,0,0,1,1
5,H10,0,0,0,0,0,0,0,0,1,1
5,H11,,,,,,,,,,
5,H12,,,,,,,,,,